Entry	Status	Gene names
Q6ZSK4	reviewed	NTM-AS1 C11orf39
Q9Y263	reviewed	PLAA PLAP
Q96RE7	reviewed	NACC1 BTBD14B NAC1
O43312	reviewed	MTSS1 KIAA0429 MIM
Q9NP80	reviewed	PNPLA8 IPLA22 IPLA2G BM-043
Q15319	reviewed	POU4F3 BRN3C
P08134	reviewed	RHOC ARH9 ARHC
Q5VZM2	reviewed	RRAGB
P0DPB5	reviewed	POLR1D
Q9BT43	reviewed	POLR3GL
P51157	reviewed	RAB28
P20338	reviewed	RAB4A RAB4
P61020	reviewed	RAB5B
Q9BRS2	reviewed	RIOK1 RIO1
Q05823	reviewed	RNASEL RNS4
P51149	reviewed	RAB7A RAB7
O14966	reviewed	RAB29 RAB7L1
Q15311	reviewed	RALBP1 RLIP1 RLIP76
Q6GMV3	reviewed	PTRHD1 C2orf79
P0DP57	reviewed	SLURP2
Q86UU9	reviewed	TAC4
Q96MN5	reviewed	TCEANC2 C1orf83
Q9NR97	reviewed	TLR8 UNQ249/PRO286
O75443	reviewed	TECTA
Q8TBZ6	reviewed	TRMT10A RG9MTD2
Q96IK0	reviewed	TMEM101
Q6ZWK6	reviewed	TMPRSS11F HATL4
Q8IYU4	reviewed	UBQLNL
Q9NVE5	reviewed	USP40
Q6A555	reviewed	TXNDC8 SPTRX3 TRX6
Q14146	reviewed	URB2 KIAA0133
Q96K62	reviewed	ZBTB45 ZNF499
Q9BRT2	reviewed	UQCC2 C6orf125 MNF1
Q9UKY1	reviewed	ZHX1
Q9Y2L8	reviewed	ZKSCAN5 KIAA1015 ZFP95
Q9GZS3	reviewed	WDR61
Q9UJW8	reviewed	ZNF180
Q2M3X9	reviewed	ZNF674
Q96PQ6	reviewed	ZNF317 KIAA1588
Q9Y3M9	reviewed	ZNF337
Q8NE65	reviewed	ZNF738
B7Z6K7	reviewed	ZNF814
Q14585	reviewed	ZNF345
Q9NQX6	reviewed	ZNF331 RITA ZNF361 ZNF463
P17036	reviewed	ZNF3 KOX25
P35443	reviewed	THBS4 TSP4
O95785	reviewed	WIZ ZNF803
O95859	reviewed	TSPAN12 NET2 TM4SF12 UNQ774/PRO1568
Q96N77	reviewed	ZNF641
P35442	reviewed	THBS2 TSP2
Q6ZS27	reviewed	ZNF662
Q96K58	reviewed	ZNF668
P17024	reviewed	ZNF20 KOX13
P98168	reviewed	ZXDA
Q7Z3U7	reviewed	MON2 KIAA1040 SF21
Q8NAT1	reviewed	POMGNT2 AGO61 C3orf39 EOGTL GTDC2
Q9Y3P9	reviewed	RABGAP1 HSPC094
Q13472	reviewed	TOP3A TOP3
Q99952	reviewed	PTPN18 BDP1
Q96T37	reviewed	RBM15 OTT OTT1
P43007	reviewed	SLC1A4 ASCT1 SATT
A3KN83	reviewed	SBNO1 MOP3
Q96IW7	reviewed	SEC22A SEC22L2
P63220	reviewed	RPS21
O15273	reviewed	TCAP
Q8N616	reviewed	LINC00311 NCRNA00311 TMEM148
Q9BSA9	reviewed	TMEM175
Q86T26	reviewed	TMPRSS11B HATL5
Q6NUQ4	reviewed	TMEM214 PP446
Q9H0V1	reviewed	TMEM168
Q66K66	reviewed	TMEM198
Q96EC8	reviewed	YIPF6
Q9HAV4	reviewed	XPO5 KIAA1291 RANBP21
Q6ZRP5	reviewed	
Q499Y3	reviewed	
Q495M9	reviewed	USH1G SANS
P18887	reviewed	XRCC1
O00507	reviewed	USP9Y DFFRY
A0A0B4J280	reviewed	TRAV40
A0A0A6YYJ7	reviewed	TRAV8-3
