VERTEX	DEGFAC	DEGFAC_REV
ACHE	0	0.14586499149789456
ATF6	0.2917299829957891	0
ATP1B1	0	0.14586499149789456
ATP2A2	0	0.2917299829957891
BEST1	0	0.14586499149789456
BGLAP	0	0.14586499149789456
BPI	0	0.14586499149789456
CA9	0	0.14586499149789456
CASP7	0	0.14586499149789456
CAV1	0	0.14586499149789456
CDH2	0	0.14586499149789456
CDKN1A	0	0.8751899489873673
CIITA	0.14586499149789456	0
CREBBP	0.14586499149789456	0.2917299829957891
CTNNBIP1	0	0.14586499149789456
E2F1	1.312784923481051	0
EGR1	0.8751899489873673	0
FDPS	0	0.14586499149789456
FGFR1	0	0.14586499149789456
FLI1	0.4375949744936837	0
GINS3	0	0.14586499149789456
ID2	0.14586499149789456	0.14586499149789456
IGFBP3	0	0.2917299829957891
KIF2C	0	0.14586499149789456
MET	0	0.14586499149789456
MFN2	0	0.14586499149789456
MITF	0.4375949744936837	0
MYH6	0	0.14586499149789456
NFKB2	0.14586499149789456	0
NKX2-5	0.2917299829957891	0
NOS3	0	0.14586499149789456
NPPA	0	0.14586499149789456
NPPB	0	0.14586499149789456
NR3C2	0.14586499149789456	0
PITX3	0.14586499149789456	0
PPARGC1A	0.14586499149789456	0.14586499149789456
RECK	0	0.14586499149789456
SELP	0	0.14586499149789456
SERPINE1	0	0.14586499149789456
SLC4A2	0	0.14586499149789456
SLC9A2	0	0.14586499149789456
SP3	1.312784923481051	0
SREBF1	0.2917299829957891	0
STMN1	0	0.14586499149789456
TBX3	0.14586499149789456	0
TBX5	0.2917299829957891	0.14586499149789456
TERT	0	0.4375949744936837
TFAP4	0.14586499149789456	0
TFPI2	0	0.14586499149789456
TH	0	0.2917299829957891
