gene_name	PPIdegree	TF_outdeg	TF_indeg
AKAP9	13	0	0
ANK2	9	0	0
CACNA2D1	6	0	0
CACNB2	4	0	0
CALM1	46	0	0
CALM2	26	0	0
CALM3	27	0	0
CAV3	45	0	0
GPD1L	4	0	0
KCND3	2	0	0
KCNE3	0	0	0
PRKAG2	3	0	0
RYR2	17	0	0
SCN1B	2	0	0
SCN3B	9	0	0
SCN4B	1	0	0
SNTA1	17	0	0
TECRL	0	0	0
TRDN	9	0	0
BRD8	2	0	0
CDC23	11	0	0
CDC25C	13	0	0
EGR1	3	6	0
FAM13B	1	0	0
FAM53C	6	0	0
GFRA3	1	0	0
KDM3B	8	0	0
KIF20A	47	0	0
NME5	0	0	0
REEP2	4	0	0
WNT8A	0	0	0
GMPR	0	0	0
MYLIP	5	0	0
ASF1A	9	0	0
CEP85L	0	0	0
MCM9	1	0	0
PLN	11	0	0
SSXP10	0	0	0
SP3	5	8	0
MAP3K7	13	0	0
ARL14EP	0	0	0
FSHB	0	0	0
MPPED2	2	0	0
CCDC141	2	0	0
FKBP7	5	0	0
PLEKHA3	1	0	0
SESTD1	2	0	0
TTN	21	0	0
KLHL42	3	0	0
MANSC4	0	0	0
MRPS35	21	0	0
PTHLH	1	0	0
REP15	1	0	0
ESD	3	0	0
HTR2A	2	0	0
LRCH1	1	0	0
CCT6B	11	0	0
FNDC8	1	0	0
LIG3	12	0	0
NLE1	7	0	0
RAD51D	6	0	0
RFFL	4	0	0
SLC35G3	0	0	0
SLFN5	3	0	0
UNC45B	3	0	0
ZNF830	2	0	0
MAPKAP1	10	0	0
PBX3	7	0	0
ANO3	1	0	0
KCNJ16	1	0	0
KCNJ2	6	0	0
CCDC59	6	0	0
METTL25	1	0	0
DYNLT5	0	0	0
SGIP1	4	0	0
CDC14B	9	0	0
HABP4	6	0	0
HSD17B3	2	0	0
PRXL2C	0	0	0
SLC35D2	0	0	0
ZNF367	0	0	0
PDE3A	4	0	0
TBX3	5	1	0
SETBP1	0	0	0
ACAA1	1	0	0
ACVR2B	3	0	0
CTDSPL	5	0	0
DLEC1	0	0	0
EXOG	3	0	0
MYD88	7	0	0
OXSR1	3	0	0
PLCD1	4	0	0
SCN10A	8	0	0
SCN5A	11	0	0
SLC22A13	0	0	0
SLC22A14	0	0	0
VILL	4	0	0
XYLB	0	0	0
ALG10B	2	0	0
ATP1B1	16	0	1
BLZF1	7	0	0
C1orf112	2	0	0
CCDC181	1	0	0
F5	1	0	0
METTL18	3	0	0
NME7	7	0	0
SELE	3	0	0
SELL	3	0	0
SELP	3	0	1
SLC19A2	2	0	0
BZW1	4	0	0
CASP10	10	0	0
CASP8	16	0	0
CFLAR	6	0	0
CLK1	12	0	0
FAM126B	0	0	0
NDUFB3	4	0	0
NIF3L1	12	0	0
ORC2	7	0	0
PPIL3	2	0	0
MED13L	1	0	0
ANAPC7	9	0	0
ANKRD13A	4	0	0
ARPC3	9	0	0
ATP2A2	19	0	2
C12orf76	0	0	0
CCDC63	0	0	0
FAM216A	0	0	0
FAM222A	3	0	0
GIT2	2	0	0
GLTP	2	0	0
GPN3	5	0	0
HVCN1	1	0	0
IFT81	2	0	0
PPP1CC	36	0	0
PPTC7	6	0	0
RAD9B	0	0	0
TCHP	9	0	0
TCTN1	6	0	0
TRPV4	1	0	0
VPS29	12	0	0
HLF	1	0	0
MMD	1	0	0
SMIM36	0	0	0
GAREM1	1	0	0
KLHL14	1	0	0
MEP1B	3	0	0
CDH2	11	0	1
DKK3	2	0	0
MICAL2	6	0	0
PARVA	4	0	0
ADAM15	6	0	0
CKS1B	4	0	0
CLK2	9	0	0
DCST1	0	0	0
DCST2	0	0	0
DPM3	1	0	0
EFNA1	2	0	0
EFNA3	0	0	0
EFNA4	2	0	0
FAM189B	6	0	0
FDPS	7	0	1
FLAD1	8	0	0
GBA	4	0	0
GBAP1	0	0	0
HCN3	2	0	0
KRTCAP2	2	0	0
LENEP	0	0	0
MTX1	5	0	0
MUC1	8	0	0
PBXIP1	6	0	0
PKLR	0	0	0
PMVK	4	0	0
PYGO2	3	0	0
RUSC1	8	0	0
SCAMP3	8	0	0
SHC1	21	0	0
SLC50A1	3	0	0
THBS3	5	0	0
TRIM46	2	0	0
ZBTB7B	28	0	0
GPATCH2	3	0	0
SPATA17	3	0	0
AP1G2	0	0	0
BCL2L2	4	0	0
BCL2L2-PABPN1	0	0	0
CMTM5	14	0	0
DHRS2	3	0	0
EFS	2	0	0
HOMEZ	4	0	0
IL25	0	0	0
JPH4	10	0	0
MYH6	4	0	1
MYH7	3	0	0
NGDN	4	0	0
PABPN1	6	0	0
PPP1R3E	1	0	0
RNF212B	0	0	0
SLC22A17	2	0	0
SLC7A8	3	0	0
THTPA	0	0	0
ZFHX2	2	0	0
GRM8	0	0	0
ZNF800	3	0	0
LTN1	11	0	0
N6AMT1	0	0	0
RWDD2B	2	0	0
USP16	1	0	0
BCAN	0	0	0
BGLAP	0	0	1
CCT3	38	0	0
CRABP2	1	0	0
GLMP	5	0	0
GPATCH4	12	0	0
HAPLN2	0	0	0
IQGAP3	3	0	0
ISG20L2	3	0	0
MEF2D	2	0	0
METTL25B	0	0	0
NAXE	2	0	0
NES	7	0	0
PAQR6	1	0	0
RHBG	0	0	0
SMG5	8	0	0
TMEM79	3	0	0
TSACC	0	0	0
TTC24	0	0	0
VHLL	0	0	0
CTAGE1	0	0	0
RBBP8	3	0	0
HERPUD2	0	0	0
ERICH5	1	0	0
LAPTM4B	1	0	0
MATN2	2	0	0
MTDH	27	0	0
RPL30	27	0	0
SIPA1L1	11	0	0
CASR	1	0	0
CCDC58	1	0	0
CD86	0	0	0
CSTA	9	0	0
DTX3L	2	0	0
FAM162A	1	0	0
KPNA1	16	0	0
PARP15	1	0	0
PARP9	2	0	0
WDR5B	3	0	0
ATF6	2	2	0
C1orf226	0	0	0
DDR2	2	0	0
NOS1AP	5	0	0
OLFML2B	0	0	0
SH2D1B	3	0	0
SPATA46	0	0	0
UAP1	1	0	0
UHMK1	3	0	0
CASQ2	9	0	0
NHLH2	0	0	0
SLC22A15	0	0	0
VANGL1	5	0	0
AMIGO1	7	0	0
ATXN7L2	1	0	0
CELSR2	1	0	0
CFAP276	0	0	0
CYB561D1	0	0	0
ELAPOR1	0	0	0
GPR61	4	0	0
MYBPHL	1	0	0
PSMA5	9	0	0
PSRC1	0	0	0
SARS1	0	0	0
SORT1	15	0	0
SYPL2	3	0	0
TAF13	1	0	0
TMEM167B	0	0	0
C1orf105	0	0	0
PIGC	0	0	0
SUCO	2	0	0
SH3PXD2A	9	0	0
SLK	3	0	0
STN1	5	0	0
ALDH18A1	12	0	0
ENTPD1	0	0	0
SORBS1	10	0	0
TCTN3	21	0	0
AHNAK	19	0	0
B3GAT3	2	0	0
BSCL2	6	0	0
C11orf98	1	0	0
CHRM1	0	0	0
CSKMT	2	0	0
EEF1G	32	0	0
EML3	1	0	0
GANAB	14	0	0
GNG3	3	0	0
HNRNPUL2	8	0	0
HNRNPUL2-BSCL2	0	0	0
INTS5	6	0	0
LBHD1	1	0	0
LRRN4CL	0	0	0
MTA2	18	0	0
NXF1	58	0	0
POLR2G	8	0	0
ROM1	0	0	0
SLC3A2	11	0	0
STX5	6	0	0
TAF6L	5	0	0
TEX54	0	0	0
TMEM179B	6	0	0
TMEM223	4	0	0
TTC9C	2	0	0
TUT1	2	0	0
UBXN1	9	0	0
UQCC3	0	0	0
WDR74	3	0	0
ZBTB3	0	0	0
CLYBL	0	0	0
GPR18	0	0	0
GPR183	3	0	0
TM9SF2	2	0	0
UBAC2	6	0	0
LITAF	5	0	0
RSL1D1	13	0	0
SNN	1	0	0
TXNDC11	8	0	0
ZC3H7A	14	0	0
CAVIN2	7	0	0
NABP1	1	0	0
PPARGC1A	2	1	1
PRDM11	2	0	0
TP53I11	1	0	0
TSPAN18	1	0	0
PPFIA2	3	0	0
C2orf16	0	0	0
CCDC121	0	0	0
DNAJC5G	0	0	0
EIF2B4	8	0	0
FNDC4	4	0	0
GCKR	1	0	0
GPN1	6	0	0
GTF3C2	5	0	0
IFT172	2	0	0
KRTCAP3	0	0	0
MPV17	4	0	0
NRBP1	3	0	0
PPM1G	12	0	0
SLC30A3	2	0	0
SLC4A1AP	3	0	0
SNX17	4	0	0
SUPT7L	3	0	0
TRIM54	22	0	0
UCN	1	0	0
ZNF512	12	0	0
ZNF513	2	0	0
ABCF1	15	0	0
ATAT1	0	0	0
C6orf136	0	0	0
DDR1	9	0	0
DHX16	9	0	0
FLOT1	15	0	0
GTF2H4	3	0	0
IER3	1	0	0
MDC1	21	0	0
MRPS18B	11	0	0
MUC21	0	0	0
MUC22	0	0	0
MUCL3	0	0	0
NRM	8	0	0
PPP1R10	4	0	0
PPP1R18	9	0	0
SFTA2	0	0	0
TUBB	37	0	0
VARS2	18	0	0
OXR1	0	0	0
BCL11A	1	0	0
APOC1	4	0	0
APOC2	3	0	0
APOC4	2	0	0
APOC4-APOC2	0	0	0
APOE	15	0	0
BCAM	1	0	0
BCL3	6	0	0
CBLC	8	0	0
CEACAM16	0	0	0
CLASRP	4	0	0
CLPTM1	5	0	0
GEMIN7	2	0	0
MARK4	8	0	0
NECTIN2	4	0	0
NKPD1	0	0	0
PPP1R37	1	0	0
RELB	12	0	0
TOMM40	17	0	0
TRAPPC6A	6	0	0
ZNF296	1	0	0
LRMDA	0	0	0
ARHGEF40	5	0	0
HNRNPC	25	0	0
METTL17	14	0	0
NDRG2	5	0	0
OR5AU1	0	0	0
RNASE13	0	0	0
RNASE2	0	0	0
RNASE3	1	0	0
RNASE7	1	0	0
RNASE8	0	0	0
RPGRIP1	3	0	0
SLC39A2	6	0	0
TMEM253	0	0	0
TPPP2	0	0	0
ZNF219	5	0	0
ATPAF2	4	0	0
DRC3	0	0	0
GID4	2	0	0
RAI1	3	0	0
SREBF1	4	2	0
TOM1L2	3	0	0
ADCY9	1	0	0
CORO7	2	0	0
CORO7-PAM16	0	0	0
CREBBP	31	1	2
DNAJA3	13	0	0
DNASE1	0	0	0
GLIS2	8	0	0
PAM16	6	0	0
SLX4	10	0	0
SRL	1	0	0
TFAP4	8	1	0
TRAP1	9	0	0
VASN	7	0	0
SLC8A1	8	0	0
ARMC9	1	0	0
B3GNT7	0	0	0
NCL	38	0	0
NMUR1	0	0	0
TEX44	1	0	0
FIGN	0	0	0
PDZRN3	0	0	0
HAND1	4	0	0
LARP1	17	0	0
SAP30L	1	0	0
CDH6	1	0	0
POM121L2	0	0	0
PRSS16	2	0	0
ZNF184	1	0	0
ZNF391	2	0	0
GJA1	32	0	0
TBC1D32	0	0	0
C6orf89	1	0	0
CDKN1A	17	0	5
CPNE5	2	0	0
FGD2	2	0	0
KCTD20	3	0	0
MTCH1	15	0	0
PI16	0	0	0
PPIL1	2	0	0
RAB44	0	0	0
SRSF3	24	0	0
STK38	13	0	0
MITF	3	3	0
SLIT2	1	0	0
CDK18	7	0	0
CTSE	2	0	0
ELK4	4	0	0
