SIGNET_SOURCE	SIGNET_DEST
ABCB6	CACNA2D1 CD81 NPC1 TOMM40
ABCB8	PROCR SCN3B
ABCC1	AZGP1 CAV1 CTDSPL FLOT1 NPC1 PTGES3 PUF60
ABCF1	C19orf47 CCDC181 CCNL1 CNOT1 EED INS KIF20A LIG3 MAPT OBSL1 PPP1R18 PSMC6 RIOK1 SNW1 ZBTB7B
ABCF2	FBXO6 INS MAPT NCL NXF1 PPP1R10 RAF1 SNW1
ABHD10	NAXE SOD2
ACAA1	TXNDC11
ACHE	HAND1
ACOT7	ANK2 CAV1 DCTD NHLRC2 UBXN1
ACTL6A	BRD8 BRD9 CCT3 CCT6B DPF3 FBXO6 FEN1 FLI1 MTDH NCL NXF1 RELB RPRD1B SMARCAD1 SNW1 TBX5 ZBTB7B
ACTL6B	CDKN1A DPF3 SLC38A7
ACTR1A	CAPZA2 CAV3 EED GJA1 MAPT MCM7 MEPCE NXF1 PLEC RIOK1 SNW1
ACVR2A	ACVR2B BMP2 BMP6 INHA RNF11
ACVR2B	ACVR2A BMP2 BMP6
ADAM15	FBXO6 MAD2L2 SGIP1 SH3GL2 SH3PXD2A SORBS1 TRIP13
ADCK1	ARF1 GLMP MTX1 NXF1 SLC6A4 TOMM22 TOMM40
ADCY9	ST7
ADM	CALCRL EDN1
AGAP3	JPH4 MTDH NHLRC2 SLC6A4
AGFG1	AGFG2 BET1 EPS15 GPN1 NIF3L1 RMC1 TRIM54
AGFG2	AGFG1 EPS15
AGTRAP	ALDH18A1 FARS2 MMD NDRG4 NPC1 PBX3 SENP2 ZNF391
AHNAK	CAPZA2 CAV3 CCNL1 CHMP4B GBF1 HSD17B3 KIF20A MAPT MCM7 MTA2 NXF1 OBSL1 PLEC PRX RNF123 SKI SNW1 STMN1 STRN VARS2
AKAP9	BLZF1 CALM1 CALM2 CALM3 GLIS2 HNRNPC KCNJ5 KCNQ1 PRDM14 PUF60 SMC3 TPM2 ZBTB7B
AKT2	AP4M1 CDKN1A KCTD20 PRKCZ SKI TPM2 XPOT
ALDH18A1	AGTRAP ARHGEF40 BZW1 CHMP4B CMTM5 DCP1A EED LATS2 MAD2L2 MEPCE NXF1 RNF123 ZC3H7A
ALG10B	ATP5F1B KCNH2
AMIGO1	AMIGO3 C3orf52 GPR183 KIAA2013 SLC38A7 SLC41A1 TMEM79
AMIGO3	AMIGO1 FBXO2
AMPD3	CAV3 KCNQ1 SLC6A4
ANAPC7	CDC23 CREBBP E2F1 LATS2 MDC1 MN1 MTCH1 NCL SMARCAD1
ANK2	ACOT7 CAV3 KCNQ1 KIF20A MDC1 OBSCN PAM SLC8A1 UBAC2
ANKRD13A	CAV1 FAM189B RNF11 ZDHHC11
ANO3	SORT1
AP4M1	AKT2 ARF1
APEH	NHLRC2 NXF1 PPM1G RMC1
APOBEC3B	EED PPP1CC
APOC1	BCL2L2 DBX1 NSG2 TEX44
APOC2	APOE BCL2L2 SENP2
APOC4	BCL2L2 SENP2
APOE	APOC2 APOH ATP2A2 ATP5F1B CD81 CLTC CYC1 IQSEC1 MAPT NOS3 PDCD4 PITX3 SELP SENP2 UBA3
APOH	APOE
ARF1	ADCK1 AP4M1 CAV3 CCT3 CHMP4B CLTC EEF1G FBXO6 GOSR2 HTR2A MST1 RYR2 ZC3H7A
ARHGAP24	NACA
ARHGAP44	PDLIM5
ARHGEF16	GBF1 SCRIB
ARHGEF40	ALDH18A1 AZGP1 MAPT SLIRP SRRT STC2
ARL6IP5	CA9 PAM ST7 TCTN3
ARMC9	CMTM5
ARPC3	CA9 CAPZA2 CHMP4B EED KIF20A L1TD1 OBSL1 PAM SLC6A4
ASAP3	MTNR1A
ASB10	THAP12
ASCL2	CALM1 CALM2 CALM3
ASF1A	CCNL1 CMTM5 CSTA E2F1 MCM7 MDC1 NPTXR PPTC7 RSL1D1
ASIC4	BSCL2 CLPTM1 FBXO2 NOS3 PMP22 RNF11 ST7
ATF6	FBXO6 ST7
ATG9A	RMC1 TBK1 VPS29 ZFAND2B
ATP1B1	ATP2A2 CA9 CACNA1C CAV3 CD81 CYC1 EEF1G EIF2S2 KCNH2 KCNQ1 KIRREL3 MAPT MRPS35 MTCH1 NDRG2 NOS3 NPC1 TOMM40
ATP2A2	APOE ATP1B1 BET1 CACNA1C CAV3 CYC1 EED GJA1 MAD2L2 MAPT MDC1 NPC1 PLN RMC1 SKI SLC3A2 SLC4A4 SLC8A1 TCTN3 ZC3H7A
ATP5F1B	ALG10B APOE ATPAF2 CA9 CACNA1C CCNL1 CDC23 CDKN1A CHMP4B CYC1 DMC1 EED EEF1G FBXO6 FGFR1 GJA1 GPAA1 HINT2 KIF20A MAPT MEPCE METTL17 NACA NUBP1 OBSL1 PPM1G PPP1CC SKI SLC19A2 SLC35F1 SPRYD4 TBX3 TERT TOMM22 TOMM40 TRIM63 TTN TUBB USP8
ATP6V0E1	PLN
ATP6V1C1	EED MRPS35 SSR1 UBAC2 VPS29
ATPAF2	ATP5F1B FDPS PRDM14 TCHP
ATXN7L2	NXF1
AUNIP	NXF1
AZGP1	ABCC1 ARHGEF40 CCNL1 MST1 SMC3
B3GAT3	NPC1 PBXIP1
BAALC	CINP
BAZ2A	CSTA EED
BAZ2B	RNF123
BCAM	CD81
BCAT1	TRIM63
BCL11A	MTA2
BCL2L2	APOC1 APOC2 APOC4 MUC1 SLC39A2 TMEM179B
BCL3	CREBBP NFKB2 RCOR1 RELB RNF123 SHC1
BET1	AGFG1 ATP2A2 BLZF1 CPD DMXL1 EIF2S2 GBF1 GJA1 GOSR2 KIDINS220 MFF MRPL47 MRPS18B RGP1 SCAMP3 SLC3A2 SMC3 STX5 TCTN3 TMF1 TRDN TRIP13 USP8 VANGL1 XPOT ZNF512
BLMH	CCNL1 CD81 GMPPB NXF1 SORT1 VPS29
BLVRB	STYX
BLZF1	AKAP9 BET1 CDK18 CINP KIF9 ORC2 TSC22D4
BMP2	ACVR2A ACVR2B
BMP6	ACVR2A ACVR2B
BNIP1	CREB3 SCN3B ST7 STX5
BRD8	ACTL6A SNW1
BRD9	ACTL6A CHMP4B NOLC1 NSD3
BSCL2	ASIC4 INKA1 KIAA2013 POM121 SPAG8 TRIM54
BZW1	ALDH18A1 EED SNW1 TRPM7
C11orf45	FBXO44
C11orf98	MAPT
C19orf47	ABCF1 NXF1 PIK3C3
C1orf112	DMC1 TSSC4
C1orf35	CCNL1 HABP4 KIF20A RIOK1 RNF123 TRIM54 TRIM63
C3orf52	AMIGO1 CREB3 DEXI LIPH MFF MUC1 NSG2 SLC39A2 TMEM179B TMEM223
C6orf89	FBXO6
CA9	ARL6IP5 ARPC3 ATP1B1 ATP5F1B CAND2 FADS2 FLOT1 MICAL2 PBXIP1 SLC3A2 SSR1 SUN2 TRPM7 VANGL1 XPOT
CACNA1C	ATP1B1 ATP2A2 ATP5F1B CACNA1D CACNA2D1 CACNB2 CALM1 CALM2 CALM3 CAV1 CAV3 CYC1 DNAJA3 EEF1G FGFR1 KCNE2 LITAF PLN RPL30 RPS8 RYR2 SCN5A SPEG SRRT
CACNA1D	CACNA1C CACNB2 SCN10A SCN5A
CACNA2D1	ABCB6 CACNA1C CACNA2D4 CACNB2 CAV3 MYH7B SLC8A1
CACNA2D4	CACNA2D1
CACNB2	CACNA1C CACNA1D CACNA2D1 KCNH2
CADPS	TRIM63
CAGE1	MPPED2
CALCRL	ADM
CALM1	AKAP9 ASCL2 CACNA1C CAMK2D CAMKV CAV3 CCNL1 CHMP4B CRHR1 CSNK2A2 DMXL1 EED FER GJA1 IQGAP3 JOSD1 KCNE1 KCNN2 KCNQ1 KIF20A MAP3K7 MAPT MET NFKB2 NOS3 NXF1 OBSCN PAM PIK3C3 PLCD1 RAF1 RELB RIOK3 RPL22 RPS8 RYR2 SCN10A SCN5A SH3GL2 SNTA1 SPATA17 STK38 STRN TBK1 TBX3 TGM2 TRDN TRPV4 TTN USP16
CALM2	AKAP9 ASCL2 CACNA1C CAMK2D CAMKV CAV3 CCNL1 CRHR1 EED GJA1 IQGAP3 JOSD1 KCNE1 KCNN2 KCNQ1 MAP3K7 MAPT NFKB2 NOS3 OBSCN PAM RELB RIOK3 RYR2 SCN10A SCN5A SPATA17 TBK1 TTN
CALM3	AKAP9 ASCL2 CACNA1C CAMK2D CAMKV CAV3 CRHR1 EED GJA1 IQGAP3 JOSD1 KCNE1 KCNN2 KCNQ1 MAP3K7 MAPT NFKB2 NOS3 NXF1 OBSCN PAM RELB RIOK3 RYR2 SCN10A SCN5A SPATA17 TBK1 TRIM54 TTN
CAMK2D	CALM1 CALM2 CALM3 CDKN1A DDHD1 DNAL4 MTA2 RYR2 SCN5A SMC3 TBK1 USP13 VARS2
CAMKV	CALM1 CALM2 CALM3 MAPT NOLC1 NOS1AP NRXN3
CAND2	CA9 CAV3 EED GJA1 KCNQ1 PLOD1 PTPRN
CAPZA2	ACTR1A AHNAK ARPC3 CCNL1 CHMP4B CLTC CNOT1 EED EPS15 FLOT1 GJA1 INS KIF20A MAPT OBSL1 PCDH7 PHLDB2 PLEC PPP1CC PPP1R18 SLC6A4 SSH2 STYX TPM2
CASP10	CASP7 CASP8 CCT3 CCT6B CFLAR DSP MYD88 MYLIP RIOK3 TAF6 TFAP4
CASP7	CASP10 CASP8 CFLAR COPS6 DSP E2F1 EIF2AK2 GNS MAPT MEF2D NIF3L1 NUCKS1 PRKCZ PTGES3 UBE4B
CASP8	CASP10 CASP7 CCNL1 CFLAR COPS6 EIF2AK2 MAPT NCL NSD3 PARP10 PIK3C3 PLEC PRDM14 PRKCZ RAF1 RFFL SORBS1 TBK1 ZNF707
CASQ2	CBX6 CSNK2A2 GJA1 GTF3C2 OBSL1 PAM PLEC SGO2 TRDN
CASR	PRKCA
CAV1	ABCC1 ACOT7 ANKRD13A CACNA1C CAV3 CAVIN2 CHMP4B CLTC CSNK2A2 ESD FLOT1 FNDC4 GJA1 GLIPR2 HTR2A IGFBP3 KCNH2 KIF20A NKD2 NOS3 NPC1 NR3C2 NXF1 PLCG1 PPM1G PROCR SNTA1 STK38 STRN
CAV3	ACTR1A AHNAK AMPD3 ANK2 ARF1 ATP1B1 ATP2A2 CACNA1C CACNA2D1 CALM1 CALM2 CALM3 CAND2 CAV1 CCDC141 CLTC CYC1 DYSF EEF1G FERMT2 FLOT1 GOT2 HCN4 KCNH2 KCNJ2 NACA NDRG2 NDUFB3 NOS3 OPLAH PBX3 PLEC PLN PTGES3 REEP2 RPL30 RPS8 RYR2 SCN5A SLC8A1 SNTA1 SOD2 SORBS1 SRL SUN2 TGM2 TKT TLN1 TRAP1 TTN TUBA4A UNC45B
CAVIN2	CAV1 MDC1 PITX3 PRKCA PRKCZ TRAPPC6A TRIM54
CBLC	GLIS2 LATS2 MET NSD3 RAF1 SHC1 TERT TRIM46 TRIP6
CBX6	CASQ2 IGF2BP2 NCL
CBY1	CDC25C CDK18 DCP1A DCP1B FAM53C GIGYF1 LARP1 LPIN3 MAPKAP1 MTFR1L PHLDB2 SH3PXD2A SIPA1L1 USP8
CCDC141	CAV3 DHRS2
CCDC181	ABCF1
CCDC58	PAM16
CCDC59	CEBPZ CSNK2A2 DCP1A MRPS35 POP7 RPL26L1
CCDC88C	LATS2 MCM7 RNASE7
CCNA1	CCNL1 CDKN1A CKS1B COPS6 E2F1 GANAB GOT2 ORC2
CCNL1	ABCF1 AHNAK ASF1A ATP5F1B AZGP1 BLMH C1orf35 CALM1 CALM2 CAPZA2 CASP8 CCNA1 CCT3 CCT6B CLSTN1 CLTC CSNK2A2 CSTA DCP1B DDX17 DHRS2 DNPEP DSP EED EEF1G EIF2AK2 EPPK1 GANAB GINS3 GNPNAT1 GPATCH2 GTF3C2 HNRNPC HNRNPR IGF2BP2 KPNA1 LANCL2 MAP3K7 MCM7 MYH6 NACA NCL NOLC1 OBSL1 ORC2 PLEC PRSS16 PTGES3 PUF60 RAD51D RGP1 RPL22 RPL26L1 RPL30 RPL32 RPS8 SLC22A17 SLC3A2 SMC3 SPATS2L SRSF3 STYX TBK1 TGM2 TKT TLN1 TRAIP TTN TUBA4A TUBA4B TUBB UBXN1
CCT3	ACTL6A ARF1 CASP10 CCNL1 CCT6B CD81 CDK5 CLTC EED EEF1G EPS15 FBXO6 GANAB GBA GINS3 GNB2 HGH1 L1TD1 MAPK15 MAPT MCM7 MEPCE METTL18 MST1 NFKB2 NGDN OBSL1 PAM POLR2G PSMA5 RAF1 RIOK1 RIOK3 RNF123 RYR2 SKI SNW1 STRN TBK1 TOMM22 TRPM7 VARS2 WDR5B ZC3H7A
