Gene stable ID	Transcript stable ID	Transcript stable ID version	Gene stable ID version	Gene type	Gene name	Gene start (bp)	Gene end (bp)	Transcript start (bp)	Transcript end (bp)	Transcription start site (TSS)	Chromosome/scaffold name	Gene Synonym	Gene description
ENSG00000164733	ENST00000679121	ENST00000679121.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11853479	11853479	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677283	ENST00000677283.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11853479	11853479	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000676952	ENST00000676952.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11853819	11853819	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000676825	ENST00000676825.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868052	11868052	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000526481	ENST00000526481.7	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868079	11868079	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000353047	ENST00000353047.11	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868087	11868087	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677650	ENST00000677650.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868087	11868087	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000676691	ENST00000676691.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868089	11868089	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000678598	ENST00000678598.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868089	11868089	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677873	ENST00000677873.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868114	11868114	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000679128	ENST00000679128.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868735	11868735	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000678092	ENST00000678092.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11868739	11868739	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677671	ENST00000677671.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842524	11869448	11869448	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000678242	ENST00000678242.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842560	11868137	11868137	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677366	ENST00000677366.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842831	11868118	11868118	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677544	ENST00000677544.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11842997	11868113	11868113	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000530640	ENST00000530640.7	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11843010	11868112	11868112	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677418	ENST00000677418.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11843027	11868112	11868112	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ENSG00000164733	ENST00000677047	ENST00000677047.1	ENSG00000164733.22	protein_coding	CTSB	11842524	11869533	11843034	11868136	11868136	8	APPS	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
