phenotype	locus_name	gene_name	gene_locusdist_kbp
JT	rs10484885	MAP3K7	191867
JT	rs10507540	ESD	44391
JT	rs10507540	HTR2A	55501
JT	rs10767455	ANO3	388564
JT	rs1106399	ORC2	40177
JT	rs1106399	NDUFB3	67596
JT	rs1106399	FAM126B	67832
JT	rs1106399	CFLAR	112317
JT	rs1106399	NIF3L1	114510
JT	rs1106399	PPIL3	114760
JT	rs1106399	CLK1	139179
JT	rs1106399	CASP10	179035
JT	rs1106399	BZW1	193243
JT	rs1106399	CASP8	229606
JT	rs12132562	PIGC	61855
JT	rs12132562	C1orf105	67214
JT	rs12132562	SUCO	178878
JT	rs12430683	TM9SF2	18581
JT	rs12430683	GPR183	133191
JT	rs12430683	GPR18	169351
JT	rs12430683	CLYBL	178939
JT	rs12430683	UBAC2	226956
JT	rs12468579	CAVIN2	2046
JT	rs12468579	NABP1	154196
JT	rs1397988	PIK3C3	67568
JT	rs1439840	CNTNAP5	616344
JT	rs1478173	OTOL1	779597
JT	rs1606812	ACVR2A	129191
JT	rs16895033	ZHX2	484214
JT	rs17081313	PCDH7	1656358
JT	rs17107548	NRXN3	721769
JT	rs17156495	DNAJB9	193795
JT	rs17156495	THAP5	194072
JT	rs17156495	PNPLA8	237598
JT	rs17211409	HIKESHI	23676
JT	rs17211409	CCDC81	48849
JT	rs17211409	EED	81134
JT	rs17281245	DCTD	282080
JT	rs17639063	CADPS	136089
JT	rs17639063	FEZF2	164754
JT	rs17639063	C3orf14	215413
JT	rs1777084	FSCB	1325742
JT	rs1890262	L1TD1	80447
JT	rs1890262	KANK4	149022
JT	rs1997103	LANCL2	30053
JT	rs1997103	VOPP1	177023
JT	rs200214	FARS2	217749
JT	rs2134953	CSMD1	775946
JT	rs2182486	SPART	20688
JT	rs2182486	CCNA1	64438
JT	rs2182486	CCDC169	69258
JT	rs2182486	SOHLH2	152526
JT	rs2182486	CCDC169-SOHLH2	198288
JT	rs3736352	TINAG	53270
JT	rs4362469	SOCS6	647513
JT	rs4591595	NKX6-1	372510
JT	rs4855537	EOGT	19733
JT	rs4855537	TAFA4	22937
JT	rs4855537	TMF1	96849
JT	rs4855537	UBA3	124897
JT	rs4855537	ARL6IP5	129453
JT	rs4855537	LMOD3	167111
JT	rs6035275	SLC24A3	59568
JT	rs4911179+rs6088791	RALY	20747
JT	rs4911179+rs6088791	CHMP4B	96561
JT	rs4911179+rs6088791	EIF2S2	115410
JT	rs4911179+rs6088791	ZNF341	176252
JT	rs4911179+rs6088791	PXMP4	187599
JT	rs4911179+rs6088791	ASIP	221670
JT	rs4911179+rs6088791	E2F1	232432
JT	rs4911179+rs6088791	ACTL10	240966
JT	rs4911179+rs6088791	C20orf144	245582
JT	rs4911179+rs6088791	NECAB3	248362
JT	rs624896	KCNN2	199872
JT	rs6718130	NT5C1B	43016
JT	rs6718130	NT5C1B-RDH14	43023
JT	rs6718130	RDH14	71932
JT	rs7595140	DYSF	98060
JT	rs7713675	CDH9	1711721
JT	rs1388107+rs7726558	DTWD2	75622
JT	rs1388107+rs7726558	DMXL1	125174
JT	rs7861565	CNTLN	211873
JT	rs7861565	SH3GL2	232227
JT	rs830233	TENM2	1575283
JT	rs985292	KIRREL3	677104
JT	rs9853921	IGSF11	941055
JT	rs9966832	RIOK3	48099
JT	rs9966832	RMC1	98323
JT	rs9966832	NPC1	130434
JT	rs9966832	TMEM241	178180
JT	rs9966832	ANKRD29	193738
JT	rs1801725	CSTA	40338
JT	rs1801725	CCDC58	74681
JT	rs1801725	FAM162A	99251
JT	rs1801725	CASR	101242
JT	rs1801725	WDR5B	126936
JT	rs1801725	CD86	229548
JT	rs1801725	KPNA1	230029
JT	rs1805123	KCNH2	7358
JT	rs1805123	NOS3	42571
JT	rs1805123	ATG9B	64339
JT	rs1805123	ABCB8	79976
JT	rs1805123	ASIC3	99846
JT	rs1805123	CDK5	105369
JT	rs1805123	SLC4A2	108764
JT	rs1805123	AOC1	123819
JT	rs1805123	FASTK	132348
JT	rs1805123	TMUB1	134645
JT	rs1805123	AGAP3	137385
JT	rs1805123	TMEM176A	148043
JT	rs1805123	TMEM176B	148094
JT	rs1805123	GBX1	219248
JT	rs1805123	GIMAP5	226193
JT	rs1805123	GIMAP1-GIMAP5	231778
JT	rs1805123	GIMAP1	231840
JT	rs1805123	ASB10	238804
JT	rs1805123	IQCA1L	242427
JT	rs2926743+rs2958149	NACA	4955
JT	rs2926743+rs2958149	PRIM1	10980
JT	rs2926743+rs2958149	PTGES3	28011
JT	rs2926743+rs2958149	HSD17B6	31845
JT	rs2926743+rs2958149	ATP5F1B	70729
JT	rs2926743+rs2958149	BAZ2A	79642
JT	rs2926743+rs2958149	RBMS2	194188
JT	rs2926743+rs2958149	SDR9C7	202817
JT	rs2926743+rs2958149	RDH16	237292
JT	rs2926743+rs2958149	GLS2	243536
JT	rs2926743+rs2958149	SPRYD4	247430
JT	rs3734381+rs3734382	PLN	17502
JT	rs3734381+rs3734382	SSXP10	22930
JT	rs3734381+rs3734382	CEP85L	85451
JT	rs3734381+rs3734382	MCM9	247302
JT	rs55910611	SLC4A3	8296
JT	rs55910611	STK11IP	37833
JT	rs55910611	OBSL1	64151
JT	rs55910611	INHA	66528
JT	rs55910611	TMEM198	92027
JT	rs55910611	CHPF	96736
JT	rs55910611	ASIC4	121520
JT	rs55910611	GMPPA	136825
JT	rs55910611	SPEGNB	139559
JT	rs55910611	SPEG	200847
JT	rs55910611	DES	217313
JT	rs55910611	DNPEP	247894
JT	rs6018+rs6027+rs6033	F5	33866
JT	rs6018+rs6027+rs6033	SLC19A2	50414
JT	rs6018+rs6027+rs6033	SELP	66604
JT	rs6018+rs6027+rs6033	CCDC181	86849
JT	rs6018+rs6027+rs6033	C1orf112	109392
JT	rs6018+rs6027+rs6033	BLZF1	146353
JT	rs6018+rs6027+rs6033	SELL	159005
JT	rs6018+rs6027+rs6033	SELE	181044
JT	rs6018+rs6027+rs6033	METTL18	242074
JT	rs6762208	IGF2BP2	29753
JT	rs6762208	SENP2	30881
JT	rs6762208	LIPH	107115
JT	rs6762208	TMEM41A	114342
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	DLEC1	23080
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	SCN10A	26705
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	SCN5A	29420
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	XYLB	30434
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	SLC22A14	34032
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	SLC22A13	50514
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	PLCD1	53950
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	ACAA1	60798
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	VILL	74226
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	MYD88	76193
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	OXSR1	102804
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	EXOG	107802
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	ACVR2B	137564
JT	rs116202356+rs12632942+rs1805124+rs2070492+rs57326399+rs6795970	CTDSPL	200325
JT	rs10497520+rs34819099+rs72648998	TTN	27295
JT	rs10497520+rs34819099+rs72648998	CCDC141	49629
JT	rs10497520+rs34819099+rs72648998	PLEKHA3	230327
JT	rs10497520+rs34819099+rs72648998	FKBP7	247120
JT	rs737154	SLC12A7	14900
JT	rs737154	NKD2	56482
JT	rs737154	SLC6A19	136311
JT	rs737154	SLC6A18	160097
JT	rs737154	TRIP13	172400
JT	rs737154	BRD9	185186
JT	rs737154	ZDHHC11	214298
JT	rs737154	TERT	217726
JT	rs200882245+rs709209+rs846111	RNF207	12879
JT	rs200882245+rs709209+rs846111	ICMT	16654
JT	rs200882245+rs709209+rs846111	RPL22	18759
JT	rs200882245+rs709209+rs846111	HES3	24869
JT	rs200882245+rs709209+rs846111	GPR153	28043
JT	rs200882245+rs709209+rs846111	CHD5	116567
JT	rs200882245+rs709209+rs846111	ACOT7	174051
JT	rs200882245+rs709209+rs846111	HES2	193108
JT	rs200882245+rs709209+rs846111	ESPN	205466
JT	rs200882245+rs709209+rs846111	KCNAB2	227427
JT	rs200882245+rs709209+rs846111	TNFRSF25	246160
JT	rs2230553+rs9635769	CCT6B	58
JT	rs2230553+rs9635769	ZNF830	196
JT	rs2230553+rs9635769	LIG3	19168
JT	rs2230553+rs9635769	RFFL	102363
JT	rs2230553+rs9635769	RAD51D	158516
JT	rs2230553+rs9635769	FNDC8	160271
JT	rs2230553+rs9635769	NLE1	180959
JT	rs2230553+rs9635769	UNC45B	186473
