phenotype	locus_name	gene_name	gene_locusdist_kbp
QT	rs10040989	GFRA3	14344
QT	rs10040989	CDC23	24713
QT	rs10040989	KIF20A	59317
QT	rs10040989	BRD8	59406
QT	rs10040989	CDC25C	93768
QT	rs10040989	FAM53C	93899
QT	rs10040989	NME5	98608
QT	rs10040989	KDM3B	114649
QT	rs10040989	WNT8A	154046
QT	rs10040989	REEP2	201021
QT	rs10040989	FAM13B	205005
QT	rs10040989	EGR1	227443
QT	rs11779860	MATN2	30738
QT	rs11779860	LAPTM4B	63045
QT	rs11779860	MTDH	193918
QT	rs11779860	RPL30	207446
QT	rs11779860	ERICH5	226466
QT	rs16870629	NKD2	6146
QT	rs16870629	SLC12A7	35436
QT	rs16870629	TRIP13	122064
QT	rs16870629	BRD9	134850
QT	rs16870629	ZDHHC11	163962
QT	rs16870629	SLC6A19	186647
QT	rs16870629	SLC6A18	210433
QT	rs16870629	ZDHHC11B	230239
QT	rs16936870	NCOA2	167325
QT	rs16936870	PRDM14	205855
QT	rs174583	FADS1	25275
QT	rs174583	FADS3	31241
QT	rs174583	FADS2	49298
QT	rs174583	FEN1	49367
QT	rs174583	TMEM258	51675
QT	rs174583	RAB3IL1	75288
QT	rs174583	MYRF	89642
QT	rs174583	BEST1	108073
QT	rs174583	FTH1	125353
QT	rs174583	DAGLA	161887
QT	rs17784882	ELP6	6873
QT	rs17784882	SCAP	26572
QT	rs17784882	CSPG5	76352
QT	rs17784882	PTPN23	121502
QT	rs17784882	KLHL18	219596
QT	rs17784882	KIF9	219714
QT	rs1805128	KCNE1	10222
QT	rs1805128	SMIM34	30667
QT	rs1805128	C21orf140	49270
QT	rs1805128	RCAN1	72201
QT	rs1805128	SMIM11	73902
QT	rs1805128	KCNE2	85376
QT	rs1805128	CLIC6	219612
QT	rs1961102	AZIN1	56454
QT	rs1961102	ATP6V1C1	100446
QT	rs1961102	BAALC	220108
QT	rs2273905	ANKRD9	1114
QT	rs2273905	RCOR1	83987
QT	rs2273905	TECPR2	145721
QT	rs2273905	CINP	167560
QT	rs2273905	ZNF839	191285
QT	rs2298632	TCEA3	3073
QT	rs2298632	ZNF436	24534
QT	rs2298632	ASAP3	52695
QT	rs2298632	HNRNPR	77350
QT	rs2298632	E2F2	122456
QT	rs2298632	ID3	173944
QT	rs2298632	HTR1D	192087
QT	rs2363719	SLC4A4	209832
QT	rs10775360+rs1396515+rs17763769+rs236586	KCNJ2	38732
QT	rs10775360+rs1396515+rs17763769+rs236586	KCNJ16	153976
QT	rs246185	MRTFB	230254
QT	rs2485376	GBF1	44728
QT	rs2485376	PITX3	58166
QT	rs2485376	ELOVL3	63950
QT	rs2485376	NFKB2	103861
QT	rs2485376	FBXL15	128940
QT	rs2485376	PSD	129478
QT	rs2485376	CUEDC2	134055
QT	rs2485376	NOLC1	138073
QT	rs2485376	PPRC1	157255
QT	rs2485376	C10orf95	159588
QT	rs2485376	MFSD13A	171146
QT	rs2485376	LDB1	183760
QT	rs2485376	ACTR1A	212460
