locus_chr	locus_start	locus_end	locus_width	locus_name	locus_ngene	locus_pheno	gene_locusdist_kbp	gene_name	gene_type	gene_tss	gene_end
07	91940840	92110673	169.833	locus_AKAP9	1		84.916	AKAP9	omim	91940840	92110673
04	112818032	113384221	566.189	locus_ANK2	1		283.094	ANK2	omim	112818032	113384221
07	81946444	82443777	497.333	locus_CACNA2D1	1		248.666	CACNA2D1	omim	81946444	82443777
10	18140737	18543557	402.82	locus_CACNB2	1		201.41	CACNB2	omim	18140737	18543557
14	90396502	90408268	11.766	locus_CALM1	1		5.883	CALM1	omim	90396502	90408268
02	47176511	47176921	0.41	locus_CALM2	1		0.205	CALM2	omim	47176511	47176921
19	46601074	46610782	9.708	locus_CALM3	1		4.854	CALM3	omim	46601074	46610782
03	8733802	8841808	108.006	locus_CAV3	1		54.003	CAV3	omim	8733802	8841808
03	32105689	32168709	63.02	locus_GPD1L	1		31.51	GPD1L	omim	32105689	32168709
01	111982796	111989668	6.872	locus_KCND3	1		3.436	KCND3	omim	111982796	111989668
11	74467549	74467729	0.18	locus_KCNE3	1		0.09	KCNE3	omim	74467549	74467729
07	151877115	151877125	0.01	locus_PRKAG2	1		0.005	PRKAG2	omim	151877115	151877125
01	237042184	237833988	791.804	locus_RYR2	1		395.902	RYR2	omim	237042184	237833988
19	35030470	35040449	9.979	locus_SCN1B	1		4.989	SCN1B	omim	35030470	35040449
11	123641124	123655244	14.12	locus_SCN3B	1		7.06	SCN3B	omim	123641124	123655244
11	118145433	118152888	7.455	locus_SCN4B	1		3.727	SCN4B	omim	118145433	118152888
20	33407957	33443763	35.806	locus_SNTA1	1		17.903	SNTA1	omim	33407957	33443763
04	64275257	64409468	134.211	locus_TECRL	1		67.105	TECRL	omim	64275257	64409468
06	123636950	123637093	0.143	locus_TRDN	1		0.071	TRDN	omim	123636950	123637093
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	3.958	CDC23	protein_coding	138213323	138213343
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	14.344	GFRA3	protein_coding	138252380	138274621
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	38.562	KIF20A	protein_coding	138178719	138187723
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	38.651	BRD8	protein_coding	138178630	138178953
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	77.853	NME5	protein_coding	138139428	138139443
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	93.768	CDC25C	protein_coding	138331804	138338355
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	93.899	FAM53C	protein_coding	138331935	138349729
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	114.649	KDM3B	protein_coding	138352685	138437028
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	133.291	WNT8A	protein_coding	138083990	138092365
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	184.25	FAM13B	protein_coding	138033031	138051961
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	201.021	REEP2	protein_coding	138439057	138446969
05	138033031	138469303	436.272	rs10040989+rs1468333	12	HR+QT	227.443	EGR1	protein_coding	138465479	138469303
06	16129086	16295549	166.463	rs1042391+rs7765828	2	QT	51.943	GMPR	protein_coding	16238587	16295549
06	16129086	16295549	166.463	rs1042391+rs7765828	2	QT	161.444	MYLIP	protein_coding	16129086	16148248
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	5	HR+JT+QRS+QT	17.502	PLN	protein_coding	118548296	118561716
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	5	HR+JT+QRS+QT	22.93	SSXP10	processed_pseudogene	118589070	118589634
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	5	JT+QT	27.478	CEP85L	protein_coding	118651591	118710075
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	5	JT+QT	90.707	MCM9	protein_coding	118813442	118935162
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	5	QT	171.417	ASF1A	protein_coding	118894152	118909171
02	173877880	173965373	87.493	rs1047640+rs938291	1	QT	37.237	SP3	protein_coding	173918785	173965373
06	90395016	90587072	192.056	rs10484885	1	JT	191.867	MAP3K7	protein_coding	90586883	90587072
11	30231014	30586872	355.858	rs10488821	3	QRS	105.653	MPPED2	protein_coding	30586281	30586872
11	30231014	30586872	355.858	rs10488821	3	QRS	157.524	ARL14EP	protein_coding	30323104	30338223
11	30231014	30586872	355.858	rs10488821	3	QRS	249.614	FSHB	protein_coding	30231014	30235261
02	178463664	179264832	801.168	rs10497520+rs10497529+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	5	HR+JT+PR+QT	4.628	CCDC141	protein_coding	178829757	179050137
02	178463664	179264832	801.168	rs10497520+rs10497529+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	5	HR+JT+PR+QT	17.706	TTN	protein_coding	178807423	178830802
02	178463664	179264832	801.168	rs10497520+rs10497529+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	5	HR	126.517	SESTD1	protein_coding	179101678	179264832
02	178463664	179264832	801.168	rs10497520+rs10497529+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	5	JT+QT	230.327	PLEKHA3	protein_coding	178480457	178516463
02	178463664	179264832	801.168	rs10497520+rs10497529+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	5	JT+QT	247.12	FKBP7	protein_coding	178463664	178478600
12	27696447	27972733	276.286	rs1050288	5	HR	22.315	KLHL42	protein_coding	27780048	27803040
12	27696447	27972733	276.286	rs1050288	5	HR	39.936	MANSC4	protein_coding	27762427	27780236
12	27696447	27972733	276.286	rs1050288	5	HR	91.541	MRPS35	protein_coding	27710822	27756295
12	27696447	27972733	276.286	rs1050288	5	HR	105.916	REP15	protein_coding	27696447	27697596
12	27696447	27972733	276.286	rs1050288	5	HR	169.607	PTHLH	protein_coding	27971970	27972733
13	46553168	46897076	343.908	rs10507540+rs1408224+rs9590974	3	JT+PR+QRS	44.391	ESD	protein_coding	46797161	46797420
13	46553168	46897076	343.908	rs10507540+rs1408224+rs9590974	3	JT+PR	55.501	HTR2A	protein_coding	46897053	46897076
13	46553168	46897076	343.908	rs10507540+rs1408224+rs9590974	3	PR+QRS	87.915	LRCH1	protein_coding	46553168	46753040
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	0.058	CCT6B	protein_coding	34961402	34981078
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	0.196	ZNF830	protein_coding	34961540	34963777
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	19.168	LIG3	protein_coding	34980512	35009743
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	59.151	RFFL	protein_coding	35063707	35089319
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	115.304	RAD51D	protein_coding	35119860	35121522
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	117.059	FNDC8	protein_coding	35121615	35130732
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	137.747	NLE1	protein_coding	35142303	35142304
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	143.261	UNC45B	protein_coding	35147817	35189345
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	JT+QT	187.964	SLC35G3	protein_coding	35192520	35194393
17	34942629	35273655	331.026	rs1052536+rs2230553+rs9635769	10	QT	238.515	SLFN5	protein_coding	35243071	35273655
09	125516460	125967377	450.917	rs10739663	2	HR	190.771	MAPKAP1	protein_coding	125707231	125707234
09	125516460	125967377	450.917	rs10739663	2	HR	230.885	PBX3	protein_coding	125747345	125967377
11	25800278	26663289	863.011	rs10767455	1	JT	388.564	ANO3	protein_coding	26188842	26663289
17	70053429	70564648	511.219	rs10775360+rs1396515+rs17763769+rs236586	2	QT	38.732	KCNJ2	protein_coding	70168673	70180044
17	70053429	70564648	511.219	rs10775360+rs1396515+rs17763769+rs236586	2	QT	153.976	KCNJ16	protein_coding	70053429	70135608
12	82182441	82479239	296.798	rs10778876	2	QRS	175.955	CCDC59	protein_coding	82358396	82358805
12	82182441	82479239	296.798	rs10778876	2	QRS	176.088	METTL25	protein_coding	82358529	82479239
