phenotype	locus_name	gene_name	gene_locusdist_kbp
HR	rs1050288	KLHL42	22315
HR	rs1050288	MANSC4	39936
HR	rs1050288	MRPS35	91541
HR	rs1050288	REP15	105916
HR	rs1050288	PTHLH	169607
HR	rs10739663	MAPKAP1	190771
HR	rs10739663	PBX3	230885
HR	rs10789207	SGIP1	7604
HR	rs10789207	DYNLT5	226796
HR	rs10820614	HABP4	16389
HR	rs10820614	ZNF367	47871
HR	rs10820614	SLC35D2	69275
HR	rs10820614	HSD17B3	184026
HR	rs10820614	CDC14B	186018
HR	rs10820614	PRXL2C	220936
HR	rs10841486	PDE3A	49269
HR	rs10880689	ALG10B	780474
HR	rs11081761	GAREM1	136264
HR	rs11081761	MEP1B	238290
HR	rs11081761	KLHL14	249314
HR	rs11083258	CDH2	195923
HR	rs112421686	PARVA	139929
HR	rs112421686	MICAL2	143626
HR	rs112421686	DKK3	228552
HR	rs11454451	SPATA17	81775
HR	rs11454451	GPATCH2	122557
HR	rs11563648	ZNF800	43573
HR	rs11563648	GRM8	77051
HR	rs1171563	MEF2D	3307
HR	rs1171563	IQGAP3	85828
HR	rs1171563	TTC24	92986
HR	rs1171563	NAXE	105019
HR	rs1171563	GPATCH4	114742
HR	rs1171563	RHBG	117526
HR	rs1171563	HAPLN2	132594
HR	rs1171563	CCT3	148445
HR	rs1171563	TSACC	149423
HR	rs1171563	BCAN	154653
HR	rs1171563	NES	182026
HR	rs1171563	VHLL	188113
HR	rs1171563	GLMP	193356
HR	rs1171563	TMEM79	203802
HR	rs1171563	CRABP2	218846
HR	rs1171563	SMG5	237513
HR	rs1171563	PAQR6	238681
HR	rs1171563	ISG20L2	239130
HR	rs1171563	METTL25B	241705
HR	rs1171563	BGLAP	244553
HR	rs117159291	CTAGE1	134694
HR	rs117159291	RBBP8	248700
HR	rs11920570	CCDC58	11664
HR	rs11920570	FAM162A	12906
HR	rs11920570	WDR5B	40591
HR	rs11920570	CSTA	46007
HR	rs11920570	KPNA1	143684
HR	rs11920570	CASR	187587
HR	rs11920570	PARP9	193045
HR	rs11920570	DTX3L	193083
HR	rs11920570	PARP15	206373
HR	rs12364753	UBXN1	3441
HR	rs12364753	UQCC3	5341
HR	rs12364753	CSKMT	10305
HR	rs12364753	C11orf98	10433
HR	rs12364753	LRRN4CL	10792
HR	rs12364753	LBHD1	12797
HR	rs12364753	HNRNPUL2-BSCL2	14661
HR	rs12364753	BSCL2	19923
HR	rs12364753	INTS5	28766
HR	rs12364753	GANAB	29012
HR	rs12364753	GNG3	32062
HR	rs12364753	HNRNPUL2	37016
HR	rs12364753	TTC9C	52455
HR	rs12364753	B3GAT3	53628
HR	rs12364753	ROM1	63892
HR	rs12364753	EML3	71876
HR	rs12364753	ZBTB3	76485
HR	rs12364753	MTA2	82400
HR	rs12364753	POLR2G	85951
HR	rs12364753	TAF6L	95743
HR	rs12364753	TUT1	100569
HR	rs12364753	EEF1G	101723
HR	rs12364753	TMEM179B	111788
HR	rs12364753	TMEM223	116129
HR	rs12364753	NXF1	129856
HR	rs12364753	STX5	131246
HR	rs12364753	AHNAK	139507
HR	rs12364753	TEX54	156705
HR	rs12364753	WDR74	157453
HR	rs12364753	SLC3A2	180390
HR	rs12364753	CHRM1	245749
HR	rs12501032	PPARGC1A	67284
HR	rs12576326	TP53I11	7543
HR	rs12576326	PRDM11	136974
HR	rs12576326	TSPAN18	232367
HR	rs12579753	PPFIA2	66247
HR	rs1260326	GCKR	11234
HR	rs1260326	FNDC4	16190
HR	rs1260326	C2orf16	29313
HR	rs1260326	IFT172	53986
HR	rs1260326	KRTCAP3	65707
HR	rs1260326	ZNF512	74896
HR	rs1260326	NRBP1	80283
HR	rs1260326	PPM1G	98518
HR	rs1260326	CCDC121	117565
HR	rs1260326	GPN1	120174
HR	rs1260326	ZNF513	127629
HR	rs1260326	SNX17	137577
HR	rs1260326	EIF2B4	143721
HR	rs1260326	GTF3C2	151581
HR	rs1260326	SLC4A1AP	155353
HR	rs1260326	SUPT7L	155541
HR	rs1260326	MPV17	195620
HR	rs1260326	UCN	200673
HR	rs1260326	TRIM54	225644
HR	rs1260326	DNAJC5G	232640
HR	rs1260326	SLC30A3	249490
HR	rs12713404	BCL11A	670950
HR	rs12721051	APOC1	4656
HR	rs12721051	APOE	13112
HR	rs12721051	APOC4	23334
HR	rs12721051	APOC4-APOC2	23335
HR	rs12721051	APOC2	27132
HR	rs12721051	TOMM40	28334
HR	rs12721051	CLPTM1	35682
HR	rs12721051	NECTIN2	72728
HR	rs12721051	RELB	82561
HR	rs12721051	BCAM	109800
HR	rs12721051	CLASRP	120142
HR	rs12721051	CBLC	141034
HR	rs12721051	ZNF296	152597
HR	rs12721051	GEMIN7	160292
HR	rs12721051	MARK4	160385
HR	rs12721051	BCL3	171198
HR	rs12721051	PPP1R37	172493
HR	rs12721051	CEACAM16	219752
HR	rs12721051	NKPD1	230841
HR	rs12721051	TRAPPC6A	244025
HR	rs12889267	ARHGEF40	4334
HR	rs12889267	RNASE8	16785
HR	rs12889267	ZNF219	24048
HR	rs12889267	TMEM253	24204
HR	rs12889267	RNASE7	32291
HR	rs12889267	RNASE13	41789
HR	rs12889267	NDRG2	48831
HR	rs12889267	TPPP2	50498
HR	rs12889267	OR5AU1	73763
HR	rs12889267	SLC39A2	75352
HR	rs12889267	METTL17	84627
HR	rs12889267	RNASE2	119120
HR	rs12889267	HNRNPC	134529
HR	rs12889267	RNASE3	183222
HR	rs12889267	RPGRIP1	205476
HR	rs12941356	SREBF1	552
HR	rs12941356	RAI1	131759
HR	rs12941356	TOM1L2	159193
HR	rs12941356	DRC3	159596
HR	rs12941356	ATPAF2	225951
HR	rs12941356	GID4	226191
HR	rs13002735	B3GNT7	8463
HR	rs13002735	NCL	60311
HR	rs13002735	NMUR1	119014
HR	rs13002735	TEX44	188691
HR	rs13002735	ARMC9	205627
HR	rs13165531	CDH6	305274
HR	rs138186803	MKLN1	170554
HR	rs140367586	GAL3ST4	882
HR	rs140367586	GPC2	1440
HR	rs140367586	STAG3	9397
HR	rs140367586	TRAPPC14	11726
HR	rs140367586	LAMTOR4	19248
HR	rs140367586	MBLAC1	41381
HR	rs140367586	CNPY4	48532
HR	rs140367586	PVRIG	50075
HR	rs140367586	TAF6	53551
HR	rs140367586	AP4M1	66617
HR	rs140367586	MCM7	66796
HR	rs140367586	COPS6	79197
HR	rs140367586	ZNF3	86439
HR	rs140367586	ZSCAN21	118392
HR	rs140367586	SPDYE3	139536
HR	rs140367586	ZKSCAN1	152570
HR	rs140367586	PILRB	184010
HR	rs140367586	PILRA	199364
HR	rs140367586	AZGP1	200573
HR	rs140367586	ZCWPW1	233877
HR	rs140367586	GJC3	244900
HR	rs140367586	TRIM4	249061
HR	rs145358377	RNF207	6602
HR	rs145358377	RPL22	12482
HR	rs145358377	ICMT	23887
HR	rs145358377	HES3	32102
HR	rs145358377	GPR153	35276
HR	rs145358377	CHD5	110290
HR	rs145358377	ACOT7	181284
HR	rs145358377	HES2	200341
HR	rs145358377	ESPN	212699
HR	rs145358377	KCNAB2	221150
HR	rs1468333	CDC23	3958
HR	rs1468333	GFRA3	35099
HR	rs1468333	KIF20A	38562
HR	rs1468333	BRD8	38651
HR	rs1468333	NME5	77853
