locus_chr	locus_start	locus_end	locus_name	locus_ngene	locus_width	locus_pheno	locus_mindistgene	locus_nspecialgene	locus_ninteractiongene	locus_hisig_type	gene_tss	gene_end	gene_locusdist_kbp	gene_closestsnp	gene_name	gene_type	gene_prob_selected	gene_signet	gene_mindist	gene_special	gene_signet+	distance_score	special_score	ppi_score	TF_score	total_score	exp_score	gene_hisig_type	ppi_deg	ppi_deg_active_cnt	ppi_deg_active_names	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2050411	2185395	222.94	rs4648819	PRKCZ	protein_coding	0.0	.	.	.	.	-25.02524020093567	0.0	89.96961263460358	1.956110425985344	66.90048285965325	0.048125087264323956	poorsig	22	6	CAVIN2;CREBBP;FAT1:coloc;NSRP1;PRKCA:coloc;STK38	0	0	.	0	0	.
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2207733	2212720	65.618	rs4648819	FAAP20	protein_coding	0.01	.	.	.	.	-24.07137624573209	0.0	89.8676228235442	1.956110425985344	67.75235700379746	0.1128069273702579	poorsig	1	0		0	0	.	0	0	.
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2228319	2310213	45.032	rs4648819	SKI	protein_coding	0.85	signet	mindist	coloc	signet+	-23.987921015446737	2.425762480924711	88.18989231068268	1.956110425985344	68.583844202146	0.25908726835014595	coloc	13	2	ATP2A2;STK38	0	0	.	0	0	.
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2391554	2391707	118.203	rs4648819	MORN1	protein_coding	0.0	.	.	.	.	-24.363877763549823	0.0	90.41671646801156	1.956110425985344	68.00894913044709	0.1458049656112298	poorsig	0	0		0	0	.	0	0	.
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2391828	2405442	118.477	rs4648819	RER1	protein_coding	0.0	.	.	.	.	-24.365577749192216	0.0	89.70049901177926	1.956110425985344	67.29103168857239	0.07111885096643032	poorsig	5	1	PMP22	0	0	.	0	0	.
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2412564	2413797	139.213	rs4648819	PEX10	protein_coding	0.14	.	.	.	.	-24.49656601874814	0.0	91.0720945991912	1.956110425985344	68.5316390064284	0.2459085583157997	poorsig	1	1	SCN3B:omim	0	0	.	0	0	.
1	2050411	2505532	rs4648819	7	455.121	PR	SKI	1.0	5.0	coloc	2425980	2505532	152.629	rs4648819	PLCH2	protein_coding	0.0	.	.	.	.	-24.58270662713672	0.0	90.41671646801156	1.956110425985344	67.7901202668602	0.11714834212181248	poorsig	0	0		0	0	.	0	0	.
1	3342619	3611508	rs6683273	2	268.889	QRS	ARHGEF16	0.0	2.0	poorsig	3454665	3481113	112.046	rs6683273	ARHGEF16	protein_coding	1.0	signet	mindist	.	signet+	-24.32597474703365	0.0	88.18989231068268	1.956110425985344	65.82002798963437	0.5542062987135064	mindist	2	0		0	0	.	0	0	.
1	3342619	3611508	rs6683273	2	268.889	QRS	ARHGEF16	0.0	2.0	poorsig	3531448	3611508	188.829	rs6683273	MEGF6	protein_coding	0.0	.	.	.	.	-24.814264730303886	0.0	88.46050158801275	1.956110425985344	65.6023472836942	0.4457937012864937	poorsig	1	0		0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	QT	RNF207	1.0	7.0	exome	5867652	5992473	221.41	rs2273042	NPHP4	protein_coding	0.0	.	.	.	.	-25.01599109491725	0.0	87.26640535088039	1.956110425985344	64.20652468194848	0.002355275667369026	poorsig	17	5	CDH2;MRTFB;NACA:exome;OBSCN;TTN:exome	0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	5990927	6101193	98.135	rs2273042	KCNAB2	protein_coding	0.0	.	.	.	.	-24.2429477054629	0.0	86.74328622534155	1.956110425985344	64.456448945864	0.0030240047852531232	poorsig	3	0		0	0	.	0	0	.
