phenotype	locus_name	gene_name	gene_locusdist_kbp
QRS	rs10488821	MPPED2	105653
QRS	rs10488821	ARL14EP	157524
QRS	rs10488821	FSHB	249614
QRS	rs10778876	CCDC59	175955
QRS	rs10778876	METTL25	176088
QRS	rs11079159	HLF	31229
QRS	rs11079159	MMD	125646
QRS	rs11079159	SMIM36	152244
QRS	rs11153730	PLN	201937
QRS	rs11153730	SSXP10	242711
QRS	rs11700980	N6AMT1	103450
QRS	rs11700980	LTN1	210960
QRS	rs11700980	RWDD2B	237432
QRS	rs11700980	USP16	242712
QRS	rs12036340	NOS1AP	23824
QRS	rs12036340	OLFML2B	62003
QRS	rs1264353	DDR1	56436
QRS	rs1264353	IER3	75438
QRS	rs1264353	FLOT1	79132
QRS	rs1264353	GTF2H4	88222
QRS	rs1264353	VARS2	94220
QRS	rs1264353	TUBB	102550
QRS	rs1264353	MDC1	102704
QRS	rs1264353	SFTA2	112124
QRS	rs1264353	MUCL3	114538
QRS	rs1264353	NRM	129632
QRS	rs1264353	PPP1R18	135241
QRS	rs1264353	DHX16	158002
QRS	rs1264353	MUC21	163733
QRS	rs1264353	C6orf136	172946
QRS	rs1264353	MUC22	190489
QRS	rs1264353	ATAT1	193143
QRS	rs1264353	MRPS18B	202145
QRS	rs1264353	PPP1R10	202742
QRS	rs1264353	ABCF1	248592
QRS	rs12764182	LRMDA	699864
QRS	rs11848785+rs12880291	SIPA1L1	97401
QRS	rs13165478+rs13185595	HAND1	14508
QRS	rs13165478+rs13185595	SAP30L	43483
QRS	rs13165478+rs13185595	LARP1	190376
QRS	rs13195040	ZNF184	4598
QRS	rs13195040	ZNF391	71530
QRS	rs13195040	POM121L2	134833
QRS	rs13195040	PRSS16	198444
QRS	rs13314892	MITF	6445
QRS	rs1344852	SLIT2	70946
QRS	rs1408224	LRCH1	87915
QRS	rs1408224	ESD	156078
QRS	rs1362212+rs1419856	TBX20	63265
QRS	rs1562782	AMPD3	12851
QRS	rs1562782	ADM	16091
QRS	rs1562782	SBF2	26943
QRS	rs1562782	MTRNR2L8	186730
QRS	rs1562782	RNF141	220023
QRS	rs1562782	LYVE1	247501
QRS	rs1733724	DKK1	149936
QRS	rs17391905	C1orf185	21753
QRS	rs17391905	CDKN2C	119723
QRS	rs17391905	RNF11	155805
QRS	rs17391905	TTC39A	217522
QRS	rs174577	FADS1	20339
QRS	rs174577	FADS3	36177
QRS	rs174577	FADS2	44362
QRS	rs174577	FEN1	44431
QRS	rs174577	TMEM258	46739
QRS	rs174577	RAB3IL1	80224
QRS	rs174577	MYRF	84706
QRS	rs174577	BEST1	113009
QRS	rs174577	FTH1	130289
QRS	rs174577	DAGLA	156951
QRS	rs17608766	GOSR2	12830
QRS	rs17608766	RPRML	42251
QRS	rs17608766	WNT9B	102704
QRS	rs17608766	WNT3	117213
QRS	rs1991601	WIPF1	31538
QRS	rs1991601	GPR155	115953
QRS	rs1991601	CHRNA1	161431
QRS	rs1991601	SCRN3	207311
QRS	rs1991601	CHN1	244514
QRS	rs2025096	GSS	3609
QRS	rs2025096	MYH7B	3613
QRS	rs2025096	TRPC4AP	50207
QRS	rs2025096	ACSS2	80051
QRS	rs2025096	GGT7	107477
QRS	rs2025096	EDEM2	195122
QRS	rs2025096	PROCR	219875
QRS	rs2025096	TP53INP2	247853
QRS	rs2242285	LRIG1	119844
QRS	rs2242285	SLC25A26	247568
QRS	rs2419577	RBM20	87526
QRS	rs2419577	PDCD4	139933
QRS	rs2419577	SMC3	164178
QRS	rs2419577	BBIP1	187318
QRS	rs2419577	SHOC2	187505
QRS	rs2419577	DUSP5	233955
QRS	rs242562	STH	49877
QRS	rs242562	MAPT	54846
QRS	rs242562	KANSL1	96748
QRS	rs242562	SPPL2C	104492
QRS	rs242562	CRHR1	165093
QRS	rs2997447	TRIM63	6698
QRS	rs2997447	SLC30A2	14819
QRS	rs2997447	EXTL1	41048
QRS	rs2997447	PDIK1L	50241
QRS	rs2997447	PAFAH2	62869
QRS	rs2997447	FAM110D	98147
QRS	rs2997447	C1orf232	103169
QRS	rs2997447	ZNF593	108976
QRS	rs2997447	ZNF593OS	110889
QRS	rs2997447	CNKSR1	116559
QRS	rs2997447	CATSPER4	129629
QRS	rs2997447	STMN1	168325
QRS	rs2997447	CEP85	173268
QRS	rs2997447	PAQR7	189679
QRS	rs2997447	SH3BGRL3	219154
QRS	rs2997447	AUNIP	229019
QRS	rs2997447	MTFR1L	242292
QRS	rs2997447	UBXN11	245704
QRS	rs359466	CPEB4	514
QRS	rs359466	C5orf47	84916
QRS	rs359466	NSG2	156843
QRS	rs17020136+rs3770770	HEATR5B	23136
QRS	rs17020136+rs3770770	GPATCH11	63646
QRS	rs17020136+rs3770770	STRN	128025
QRS	rs17020136+rs3770770	EIF2AK2	128116
QRS	rs17020136+rs3770770	SULT6B1	167798
QRS	rs17020136+rs3770770	CEBPZOS	175616
QRS	rs17020136+rs3770770	CEBPZ	180740
QRS	rs17020136+rs3770770	NDUFAF7	210759
QRS	rs3777755	EDN1	130895
QRS	rs3777755	HIVEP1	150704
QRS	rs3929778	BMP2	288043
QRS	rs12039739+rs4074536	NHLH2	50636
QRS	rs12039739+rs4074536	CASQ2	68325
QRS	rs12039739+rs4074536	VANGL1	126355
QRS	rs12039739+rs4074536	SLC22A15	186023
QRS	rs4642101	CAND2	4252
QRS	rs4642101	RPL32	40841
QRS	rs4642101	TMEM40	41465
QRS	rs4642101	RAF1	136537
QRS	rs4642101	IQSEC1	166944
QRS	rs4642101	MKRN2	243667
QRS	rs4687718	TKT	7735
QRS	rs4687718	CACNA1D	80676
QRS	rs4687718	PRKCD	92278
QRS	rs4687718	DCP1A	99256
QRS	rs4687718	RFT1	117852
QRS	rs4687718	SFMBT1	202214
QRS	rs4708832	SOD2	220336
QRS	rs6683273	ARHGEF16	112046
QRS	rs6683273	MEGF6	188829
QRS	rs6968945	TNS3	679016
QRS	rs10850409+rs7132327	TBX3	273011
QRS	rs7198919	LITAF	8116
QRS	rs7198919	SNN	73420
QRS	rs7198919	TXNDC11	84048
QRS	rs7198919	ZC3H7A	187517
QRS	rs7211246	SLC6A4	35575
QRS	rs7211246	NSRP1	43223
QRS	rs7211246	BLMH	133200
QRS	rs7211246	TMIGD1	157589
QRS	rs7211246	CPD	220183
QRS	rs7211246	SSH2	228592
QRS	rs7211246	EFCAB5	229544
QRS	rs7283707	USP25	24650
QRS	rs1886512+rs728926	KLF12	252896
QRS	rs7537765	NPPA	20537
QRS	rs7537765	CLCN6	21055
QRS	rs7537765	MTHFR	21833
QRS	rs7537765	NPPB	30218
QRS	rs7537765	C1orf167	65459
QRS	rs7537765	AGTRAP	91162
QRS	rs7537765	KIAA2013	99181
QRS	rs7537765	PLOD1	106959
QRS	rs7537765	DRAXIN	135536
QRS	rs7537765	MAD2L2	152766
QRS	rs7537765	MFN2	152935
QRS	rs7537765	FBXO6	163046
QRS	rs7537765	FBXO44	172871
QRS	rs7537765	FBXO2	176476
QRS	rs7537765	MIIP	192220
QRS	rs7537765	TNFRSF8	236057
QRS	rs7562790	CRIM1	90634
QRS	rs7562790	FEZ2	105856
QRS	rs7771320	DSP	39101
QRS	rs7771320	SNRNP48	87682
QRS	rs7771320	RIOK1	112708
QRS	rs7771320	CAGE1	113126
QRS	rs7771320	SSR1	189309
QRS	rs7771320	BMP6	223583
QRS	rs7784776	IGFBP3	659275
QRS	rs7909027	NSUN6	244624
QRS	rs7342028+rs7918405	TCF7L2	204541
QRS	rs879568	TPGS2	66889
QRS	rs879568	KIAA1328	97410
QRS	rs3825214+rs883079	TBX5	48506
QRS	rs9296504	SLC25A27	8853
QRS	rs9296504	CYP39A1	8950
QRS	rs9296504	TDRD6	26107
QRS	rs9296504	PLA2G7	73607
QRS	rs9296504	ANKRD66	85165
QRS	rs9296504	MEP1A	131621
QRS	rs2207790+rs9436640	TM2D1	292846
QRS	rs1321311+rs9470361	CDKN1A	20858
QRS	rs1321311+rs9470361	RAB44	42224
QRS	rs1321311+rs9470361	SRSF3	60770
QRS	rs1321311+rs9470361	CPNE5	101779
QRS	rs1321311+rs9470361	STK38	161231
QRS	rs1321311+rs9470361	PPIL1	203033
QRS	rs1321311+rs9470361	KCTD20	212123
QRS	rs1321311+rs9470361	C6orf89	216268
QRS	rs10865879+rs11708996+rs11710077+rs2051211+rs6795970+rs6801957+rs9851724	SCN5A	16941
QRS	rs10865879+rs11708996+rs11710077+rs2051211+rs6795970+rs6801957+rs9851724	SCN10A	18358
QRS	rs10865879+rs11708996+rs11710077+rs2051211+rs6795970+rs6801957+rs9851724	EXOG	22131
QRS	rs10865879+rs11708996+rs11710077+rs2051211+rs6795970+rs6801957+rs9851724	ACVR2B	64368
QRS	rs10865879+rs11708996+rs11710077+rs2051211+rs6795970+rs6801957+rs9851724	XYLB	171498
QRS	rs10865879+rs11708996+rs11710077+rs2051211+rs6795970+rs6801957+rs9851724	SLC22A14	235964
QRS	rs10853525+rs991014	SETBP1	176514
QRS	rs9912468	PRKCA	19603
QRS	rs9912468	APOH	92824
